song,stem,sdr
Al James - Schoolboy Facination,vocals,-32.46536636352539
Al James - Schoolboy Facination,accompaniment,-40.33715057373047
James Elder & Mark M Thompson - The English Actor,vocals,-25.608360290527344
James Elder & Mark M Thompson - The English Actor,accompaniment,-39.01356506347656
Timboz - Pony,vocals,-38.901058197021484
Timboz - Pony,accompaniment,-33.29685974121094
BKS - Bulldozer,vocals,-32.31587600708008
BKS - Bulldozer,accompaniment,-42.751617431640625
Side Effects Project - Sing With Me,vocals,-30.91680145263672
Side Effects Project - Sing With Me,accompaniment,-25.653118133544922
Motor Tapes - Shore,vocals,-27.313974380493164
Motor Tapes - Shore,accompaniment,-30.963624954223633
We Fell From The Sky - Not You,vocals,-27.844144821166992
We Fell From The Sky - Not You,accompaniment,-38.32668685913086
The Easton Ellises (Baumi) - SDRNR,vocals,-30.782533645629883
The Easton Ellises (Baumi) - SDRNR,accompaniment,-40.098106384277344
Skelpolu - Resurrection,vocals,-40.15086364746094
Skelpolu - Resurrection,accompaniment,-42.31127166748047
Girls Under Glass - We Feel Alright,vocals,-29.76307487487793
Girls Under Glass - We Feel Alright,accompaniment,-39.491554260253906
PR - Happy Daze,vocals,-45.22943115234375
PR - Happy Daze,accompaniment,-42.875022888183594
Lyndsey Ollard - Catching Up,vocals,-24.109766006469727
Lyndsey Ollard - Catching Up,accompaniment,-33.18505859375
Arise - Run Run Run,vocals,-29.591642379760742
Arise - Run Run Run,accompaniment,-42.27468490600586
AM Contra - Heart Peripheral,vocals,-32.29899978637695
AM Contra - Heart Peripheral,accompaniment,-21.413846969604492
Detsky Sad - Walkie Talkie,vocals,-28.219547271728516
Detsky Sad - Walkie Talkie,accompaniment,-29.936906814575195
Angels In Amplifiers - I'm Alright,vocals,-29.358596801757812
Angels In Amplifiers - I'm Alright,accompaniment,-37.708824157714844
Moosmusic - Big Dummy Shake,vocals,-27.005006790161133
Moosmusic - Big Dummy Shake,accompaniment,-36.698402404785156
Nerve 9 - Pray For The Rain,vocals,-31.27234649658203
Nerve 9 - Pray For The Rain,accompaniment,-38.40084457397461
Signe Jakobsen - What Have You Done To Me,vocals,-22.07326889038086
Signe Jakobsen - What Have You Done To Me,accompaniment,-37.25673294067383
The Sunshine Garcia Band - For I Am The Moon,vocals,-32.46726608276367
The Sunshine Garcia Band - For I Am The Moon,accompaniment,-43.51778793334961
The Long Wait - Dark Horses,vocals,-29.85260581970215
The Long Wait - Dark Horses,accompaniment,-41.74150466918945
Raft Monk - Tiring,vocals,-33.36427688598633
Raft Monk - Tiring,accompaniment,-42.431331634521484
Speak Softly - Broken Man,vocals,-39.05375289916992
Speak Softly - Broken Man,accompaniment,-43.75640106201172
Cristina Vane - So Easy,vocals,-29.974809646606445
Cristina Vane - So Easy,accompaniment,-32.376220703125
Georgia Wonder - Siren,vocals,-35.212860107421875
Georgia Wonder - Siren,accompaniment,-42.05599594116211
PR - Oh No,vocals,-15.73487663269043
PR - Oh No,accompaniment,-34.81437683105469
The Doppler Shift - Atrophy,vocals,-31.86800765991211
