song,stem,sdr
Al James - Schoolboy Facination,vocals,-45.032859802246094
Al James - Schoolboy Facination,accompaniment,-43.88396453857422
James Elder & Mark M Thompson - The English Actor,vocals,-45.571495056152344
James Elder & Mark M Thompson - The English Actor,accompaniment,-57.77222442626953
Timboz - Pony,vocals,-53.273231506347656
Timboz - Pony,accompaniment,-43.890018463134766
BKS - Bulldozer,vocals,-44.12284851074219
BKS - Bulldozer,accompaniment,-54.60198211669922
Side Effects Project - Sing With Me,vocals,-45.840972900390625
Side Effects Project - Sing With Me,accompaniment,-31.53110694885254
Motor Tapes - Shore,vocals,-56.99647521972656
Motor Tapes - Shore,accompaniment,-63.16350555419922
We Fell From The Sky - Not You,vocals,-55.07913589477539
We Fell From The Sky - Not You,accompaniment,-57.39326477050781
The Easton Ellises (Baumi) - SDRNR,vocals,-44.875953674316406
The Easton Ellises (Baumi) - SDRNR,accompaniment,-46.86372375488281
Skelpolu - Resurrection,vocals,-60.80312728881836
Skelpolu - Resurrection,accompaniment,-44.351417541503906
Girls Under Glass - We Feel Alright,vocals,-57.16868591308594
Girls Under Glass - We Feel Alright,accompaniment,-47.58713150024414
PR - Happy Daze,vocals,-85.44721984863281
PR - Happy Daze,accompaniment,-53.9638557434082
Lyndsey Ollard - Catching Up,vocals,-43.149112701416016
Lyndsey Ollard - Catching Up,accompaniment,-54.248924255371094
Arise - Run Run Run,vocals,-44.968074798583984
Arise - Run Run Run,accompaniment,-47.98115539550781
AM Contra - Heart Peripheral,vocals,-52.33665084838867
AM Contra - Heart Peripheral,accompaniment,-26.78116226196289
Detsky Sad - Walkie Talkie,vocals,-44.539302825927734
Detsky Sad - Walkie Talkie,accompaniment,-69.37474060058594
Angels In Amplifiers - I'm Alright,vocals,-48.951717376708984
Angels In Amplifiers - I'm Alright,accompaniment,-56.776065826416016
Moosmusic - Big Dummy Shake,vocals,-36.4434928894043
Moosmusic - Big Dummy Shake,accompaniment,-50.444114685058594
Nerve 9 - Pray For The Rain,vocals,-52.972267150878906
Nerve 9 - Pray For The Rain,accompaniment,-57.215797424316406
Signe Jakobsen - What Have You Done To Me,vocals,-34.33473205566406
Signe Jakobsen - What Have You Done To Me,accompaniment,-47.49079895019531
The Sunshine Garcia Band - For I Am The Moon,vocals,-53.380149841308594
The Sunshine Garcia Band - For I Am The Moon,accompaniment,-61.47575759887695
The Long Wait - Dark Horses,vocals,-40.11315155029297
The Long Wait - Dark Horses,accompaniment,-53.02934646606445
Raft Monk - Tiring,vocals,-41.22735595703125
Raft Monk - Tiring,accompaniment,-102.9764175415039
Speak Softly - Broken Man,vocals,-49.203895568847656
Speak Softly - Broken Man,accompaniment,-51.08863830566406
Cristina Vane - So Easy,vocals,-45.60675811767578
Cristina Vane - So Easy,accompaniment,-34.3230094909668
Georgia Wonder - Siren,vocals,-51.11162567138672
Georgia Wonder - Siren,accompaniment,-53.83304214477539
PR - Oh No,vocals,-45.678462982177734
PR - Oh No,accompaniment,-42.59611129760742
The Doppler Shift - Atrophy,vocals,-44.64930725097656
The Doppler Shift - Atrophy,accompaniment,-46.17915725708008
Speak Softly - Like Horses,vocals,-42.06979751586914
Speak Softly - Like Horses,accompaniment,-76.4516372680664
Mu - Too Bright,vocals,-63.75600814819336
Mu - Too Bright,accompaniment,-47.11128234863281
BKS - Too Much,vocals,-57.21422576904297
BKS - Too Much,accompaniment,-60.30696487426758
Louis Cressy Band - Good Time,vocals,-44.18582534790039
Louis Cressy Band - Good Time,accompaniment,-58.056644439697266
Bobby Nobody - Stitch Up,vocals,-52.5956916809082
Bobby Nobody - Stitch Up,accompaniment,-58.40055465698242
Triviul feat. The Fiend - Widow,vocals,-47.432342529296875
Triviul feat. The Fiend - Widow,accompaniment,-36.377445220947266
Secretariat - Over The Top,vocals,-46.99287414550781
Secretariat - Over The Top,accompaniment,-58.99727249145508
Little Chicago's Finest - My Own,vocals,-41.993858337402344
Little Chicago's Finest - My Own,accompaniment,-60.00232696533203
Carlos Gonzalez - A Place For Us,vocals,-44.447471618652344
Carlos Gonzalez - A Place For Us,accompaniment,-40.69917297363281
Buitraker - Revo X,vocals,-44.592071533203125
Buitraker - Revo X,accompaniment,-48.67709732055664
Tom McKenzie - Directions,vocals,-47.8251838684082
Tom McKenzie - Directions,accompaniment,-33.838592529296875
Ben Carrigan - We'll Talk About It All Tonight,vocals,-42.237693786621094
Ben Carrigan - We'll Talk About It All Tonight,accompaniment,-41.033607482910156
Zeno - Signs,vocals,-55.990447998046875
Zeno - Signs,accompaniment,-48.01142883300781
The Mountaineering Club - Mallory,vocals,-30.629417419433594
The Mountaineering Club - Mallory,accompaniment,-40.73529052734375
Forkupines - Semantics,vocals,-40.296607971191406
Forkupines - Semantics,accompaniment,-60.79510498046875
Punkdisco - Oral Hygiene,vocals,-45.39826965332031
Punkdisco - Oral Hygiene,accompaniment,-33.80065155029297
M.E.R.C. Music - Knockout,vocals,-47.8228759765625
M.E.R.C. Music - Knockout,accompaniment,-63.726139068603516
Secretariat - Borderline,vocals,-47.98952102661133
Secretariat - Borderline,accompaniment,-48.5869026184082
Juliet's Rescue - Heartbeats,vocals,-60.02711486816406
Juliet's Rescue - Heartbeats,accompaniment,-55.1549186706543
Sambasevam Shanmugam - Kaathaadi,vocals,-62.52423858642578
Sambasevam Shanmugam - Kaathaadi,accompaniment,-41.040565490722656
Enda Reilly - Cur An Long Ag Seol,vocals,-55.716896057128906
Enda Reilly - Cur An Long Ag Seol,accompaniment,-44.80253601074219
Hollow Ground - Ill Fate,vocals,-49.91472244262695
Hollow Ground - Ill Fate,accompaniment,-49.5338020324707
The Easton Ellises - Falcon 69,vocals,-33.62188720703125
The Easton Ellises - Falcon 69,accompaniment,-53.2634391784668
